userFromName,userFromId,userToId,userToName,Sentiment_from,Sentiment_to,weight
Bharat7140,9.58E+17,9.43E+17,GunjaSV,-0.64,0.72,-0.4608
Sajjad29101278,8.07E+17,9.43E+17,GunjaSV,0.62,0.72,0.4464
ArshadChishti_,1317434616,9.43E+17,GunjaSV,-0.17,0.72,-0.1224
hisamuddink51,8.38E+17,9.43E+17,GunjaSV,-0.66,0.72,-0.4752
ERRKVAID3,1.03E+18,9.43E+17,GunjaSV,0,0.72,0
Sayed23219671,9.94E+17,9.43E+17,GunjaSV,0,0.72,0
_GuruGhantal_,1.01E+18,9.43E+17,GunjaSV,0,0.72,0
HakimSinghRagh1,9.59E+17,9.43E+17,GunjaSV,0,0.72,0
Bharat7140,9.58E+17,1.08E+18,AaliyaAkhter,-0.64,-0.49,0.3136
IAmShereAalam,607270051,1.08E+18,AaliyaAkhter,0,-0.49,0
WasiuddinSiddi1,9.24E+17,1.08E+18,AaliyaAkhter,0.67,-0.49,-0.3283
WDhongre,1.04E+18,1.08E+18,AaliyaAkhter,-0.69,-0.49,0.3381
ERRKVAID3,1.03E+18,1.08E+18,AaliyaAkhter,0,-0.49,0
akhterzaidi,437753350,1.08E+18,AaliyaAkhter,0.23,-0.49,-0.1127
Drraj94397198,9.47E+17,1.08E+18,AaliyaAkhter,0.77,-0.49,-0.3773
AzmiAxpress,1.08E+18,1.08E+18,AaliyaAkhter,0,-0.49,0
AbrarNoori8,1.07E+18,1.08E+18,AaliyaAkhter,0.45,-0.49,-0.2205
Sana__Siddique,1.05E+18,1.08E+18,AaliyaAkhter,0.82,-0.49,-0.4018
MOHAMMED___SRH,9.29E+17,1.08E+18,AaliyaAkhter,-0.59,-0.49,0.2891
aftabnazim786,4123141394,1.08E+18,AaliyaAkhter,0.68,-0.49,-0.3332
Fairystylesmoon,7.01E+17,1.08E+18,AaliyaAkhter,0.73,-0.49,-0.3577
SUBASH50693,1.04E+18,1.08E+18,AaliyaAkhter,-0.33,-0.49,0.1617
Dilsedesh,7.10E+17,1.08E+18,AaliyaAkhter,0.36,-0.49,-0.1764
HakimSinghRagh1,9.59E+17,1.08E+18,AaliyaAkhter,0,-0.49,0
Bharat7140,9.58E+17,1.05E+18,Sana__Siddique,-0.64,0.82,-0.5248
Sajjad29101278,8.07E+17,1.05E+18,Sana__Siddique,0.62,0.82,0.5084
WasiuddinSiddi1,9.24E+17,1.05E+18,Sana__Siddique,0.67,0.82,0.5494
AnilKumarSaga11,4226305694,1.05E+18,Sana__Siddique,0,0.82,0
hisamuddink51,8.38E+17,1.05E+18,Sana__Siddique,-0.66,0.82,-0.5412
ERRKVAID3,1.03E+18,1.05E+18,Sana__Siddique,0,0.82,0
akhterzaidi,437753350,1.05E+18,Sana__Siddique,0.23,0.82,0.1886
Sayed23219671,9.94E+17,1.05E+18,Sana__Siddique,0,0.82,0
MahapatPravat,2875395596,1.05E+18,Sana__Siddique,0.58,0.82,0.4756
AzmiAxpress,1.08E+18,1.05E+18,Sana__Siddique,0,0.82,0
devendranathyad,2658438998,1.05E+18,Sana__Siddique,0.37,0.82,0.3034
AbrarNoori8,1.07E+18,1.05E+18,Sana__Siddique,0.45,0.82,0.369
aftabnazim786,4123141394,1.05E+18,Sana__Siddique,0.68,0.82,0.5576
AaliyaAkhter,1.08E+18,1.05E+18,Sana__Siddique,-0.49,0.82,-0.4018
SUBASH50693,1.04E+18,1.05E+18,Sana__Siddique,-0.33,0.82,-0.2706
Dilsedesh,7.10E+17,1.05E+18,Sana__Siddique,0.36,0.82,0.2952
HakimSinghRagh1,9.59E+17,1.05E+18,Sana__Siddique,0,0.82,0
alishaikh1737,7.07E+17,1.05E+18,Sana__Siddique,0.39,0.82,0.3198
Bharat7140,9.58E+17,9.94E+17,Sayed23219671,-0.64,0,0
kawaljeetyadav7,4245793992,9.94E+17,Sayed23219671,-0.64,0,0
YourGirlNeha,1.04E+18,9.94E+17,Sayed23219671,0.67,0,0
ArshadChishti_,1317434616,9.94E+17,Sayed23219671,-0.17,0,0
WasiuddinSiddi1,9.24E+17,9.94E+17,Sayed23219671,0.67,0,0
hisamuddink51,8.38E+17,9.94E+17,Sayed23219671,-0.66,0,0
ERRKVAID3,1.03E+18,9.94E+17,Sayed23219671,0,0,0
rahulyadav0421,2969169408,9.94E+17,Sayed23219671,0.43,0,0
AnkurYa20727560,8.71E+17,9.94E+17,Sayed23219671,0,0,0
devendranathyad,2658438998,9.94E+17,Sayed23219671,0.37,0,0
Sana__Siddique,1.05E+18,9.94E+17,Sayed23219671,0.82,0,0
SUBASH50693,1.04E+18,9.94E+17,Sayed23219671,-0.33,0,0
HakimSinghRagh1,9.59E+17,9.94E+17,Sayed23219671,0,0,0
Bharat7140,9.58E+17,244818009,vikascongress,-0.64,0.9,-0.576
Sajjad29101278,8.07E+17,244818009,vikascongress,0.62,0.9,0.558
WDhongre,1.04E+18,244818009,vikascongress,-0.69,0.9,-0.621
MdKhan7861,526846831,244818009,vikascongress,0.37,0.9,0.333
Kadirsolanki2,9.86E+17,244818009,vikascongress,0.19,0.9,0.171
talha4lee,336211327,244818009,vikascongress,0,0.9,0
AbidDairdwal,1530182425,244818009,vikascongress,0,0.9,0
ERRKVAID3,1.03E+18,244818009,vikascongress,0,0.9,0
AzmiAxpress,1.08E+18,244818009,vikascongress,0,0.9,0
CongressALL,86663727,244818009,vikascongress,0.55,0.9,0.495
_GuruGhantal_,1.01E+18,244818009,vikascongress,0,0.9,0
Bharat7140,9.58E+17,9.11E+17,ahanafatima786,-0.64,-0.37,0.2368
IAmShereAalam,607270051,9.11E+17,ahanafatima786,0,-0.37,0
WDhongre,1.04E+18,9.11E+17,ahanafatima786,-0.69,-0.37,0.2553
hisamuddink51,8.38E+17,9.11E+17,ahanafatima786,-0.66,-0.37,0.2442
TavisShahnazar,1.09E+18,9.11E+17,ahanafatima786,0,-0.37,0
akhterzaidi,437753350,9.11E+17,ahanafatima786,0.23,-0.37,-0.0851
azamnawaaz,4441913112,9.11E+17,ahanafatima786,-0.31,-0.37,0.1147
Maharani451,9.91E+17,9.11E+17,ahanafatima786,0,-0.37,0
Rturki0786,8.28E+17,9.11E+17,ahanafatima786,0.18,-0.37,-0.0666
AzmiAxpress,1.08E+18,9.11E+17,ahanafatima786,0,-0.37,0
_jr_alam,3629568972,9.11E+17,ahanafatima786,0.25,-0.37,-0.0925
AbrarNoori8,1.07E+18,9.11E+17,ahanafatima786,0.45,-0.37,-0.1665
MOHAMMED___SRH,9.29E+17,9.11E+17,ahanafatima786,-0.59,-0.37,0.2183
CongressALL,86663727,9.11E+17,ahanafatima786,0.55,-0.37,-0.2035
aftabnazim786,4123141394,9.11E+17,ahanafatima786,0.68,-0.37,-0.2516
AaliyaAkhter,1.08E+18,9.11E+17,ahanafatima786,-0.49,-0.37,0.1813
SUBASH50693,1.04E+18,9.11E+17,ahanafatima786,-0.33,-0.37,0.1221
Dilsedesh,7.10E+17,9.11E+17,ahanafatima786,0.36,-0.37,-0.1332
TiwariSN5,1.08E+18,9.11E+17,ahanafatima786,-0.64,-0.37,0.2368
alishaikh1737,7.07E+17,9.11E+17,ahanafatima786,0.39,-0.37,-0.1443
Aoaoao098,1.03E+18,988268701,singh_76,0,0,0
RajTiwa56444261,9.89E+17,988268701,singh_76,0,0,0
vsarrulmozhy,8.38E+17,988268701,singh_76,-0.61,0,0
BJPGMDassPondy,1.07E+18,988268701,singh_76,0.91,0,0
vera_anz,137613839,988268701,singh_76,0.63,0,0
V5336Nand,4648690826,988268701,singh_76,0.29,0,0
Dipu11977Kumar,3057929443,988268701,singh_76,0.81,0,0
56perumal,1666873268,988268701,singh_76,0.29,0,0
RahulDubeyBABA,1.03E+18,988268701,singh_76,-0.54,0,0
ReshmaLalwani6,9.88E+17,988268701,singh_76,-0.59,0,0
Firozal60902021,9.68E+17,9.24E+17,WasiuddinSiddi1,0.31,0.67,0.2077
Sajjad29101278,8.07E+17,9.24E+17,WasiuddinSiddi1,0.62,0.67,0.4154
kamranYC,1399044073,9.24E+17,WasiuddinSiddi1,-0.79,0.67,-0.5293
ArshadChishti_,1317434616,9.24E+17,WasiuddinSiddi1,-0.17,0.67,-0.1139
WDhongre,1.04E+18,9.24E+17,WasiuddinSiddi1,-0.69,0.67,-0.4623
Kadirsolanki2,9.86E+17,9.24E+17,WasiuddinSiddi1,0.19,0.67,0.1273
AnilKumarSaga11,4226305694,9.24E+17,WasiuddinSiddi1,0,0.67,0
hisamuddink51,8.38E+17,9.24E+17,WasiuddinSiddi1,-0.66,0.67,-0.4422
Sayed23219671,9.94E+17,9.24E+17,WasiuddinSiddi1,0,0.67,0
AzmiAxpress,1.08E+18,9.24E+17,WasiuddinSiddi1,0,0.67,0
YashodanandanS,1353739118,9.24E+17,WasiuddinSiddi1,0,0.67,0
Sana__Siddique,1.05E+18,9.24E+17,WasiuddinSiddi1,0.82,0.67,0.5494
CongressALL,86663727,9.24E+17,WasiuddinSiddi1,0.55,0.67,0.3685
Rahis29411164,1.01E+18,9.24E+17,WasiuddinSiddi1,-0.75,0.67,-0.5025
aftabnazim786,4123141394,9.24E+17,WasiuddinSiddi1,0.68,0.67,0.4556
AaliyaAkhter,1.08E+18,9.24E+17,WasiuddinSiddi1,-0.49,0.67,-0.3283
SUBASH50693,1.04E+18,9.24E+17,WasiuddinSiddi1,-0.33,0.67,-0.2211
Dilsedesh,7.10E+17,9.24E+17,WasiuddinSiddi1,0.36,0.67,0.2412
HakimSinghRagh1,9.59E+17,9.24E+17,WasiuddinSiddi1,0,0.67,0
TiwariSN5,1.08E+18,9.24E+17,WasiuddinSiddi1,-0.64,0.67,-0.4288
alishaikh1737,7.07E+17,9.24E+17,WasiuddinSiddi1,0.39,0.67,0.2613
kawaljeetyadav7,4245793992,8.71E+17,AnkurYa20727560,-0.64,0,0
Sayed23219671,9.94E+17,8.71E+17,AnkurYa20727560,0,0,0
rahulyadav0421,2969169408,8.71E+17,AnkurYa20727560,0.43,0,0
SUBASH50693,1.04E+18,8.71E+17,AnkurYa20727560,-0.33,0,0
kawaljeetyadav7,4245793992,2969169408,rahulyadav0421,-0.64,0.43,-0.2752
hisamuddink51,8.38E+17,2969169408,rahulyadav0421,-0.66,0.43,-0.2838
Sayed23219671,9.94E+17,2969169408,rahulyadav0421,0,0.43,0
AzmiAxpress,1.08E+18,2969169408,rahulyadav0421,0,0.43,0
AnkurYa20727560,8.71E+17,2969169408,rahulyadav0421,0,0.43,0
SUBASH50693,1.04E+18,2969169408,rahulyadav0421,-0.33,0.43,-0.1419
singh_76,988268701,9.88E+17,ReshmaLalwani6,0,-0.59,0
V5336Nand,4648690826,9.88E+17,ReshmaLalwani6,0.29,-0.59,-0.1711
ERRKVAID3,1.03E+18,9.88E+17,ReshmaLalwani6,0,-0.59,0
56perumal,1666873268,9.88E+17,ReshmaLalwani6,0.29,-0.59,-0.1711
singh_76,988268701,1666873268,56perumal,0,0.29,0
vsarrulmozhy,8.38E+17,1666873268,56perumal,-0.61,0.29,-0.1769
BJPGMDassPondy,1.07E+18,1666873268,56perumal,0.91,0.29,0.2639
vera_anz,137613839,1666873268,56perumal,0.63,0.29,0.1827
DharRenuka,27236673,1666873268,56perumal,0,0.29,0
V5336Nand,4648690826,1666873268,56perumal,0.29,0.29,0.0841
AnupamMishra8,386487217,1666873268,56perumal,-0.34,0.29,-0.0986
Dipu11977Kumar,3057929443,1666873268,56perumal,0.81,0.29,0.2349
devendranathyad,2658438998,1666873268,56perumal,0.37,0.29,0.1073
RahulDubeyBABA,1.03E+18,1666873268,56perumal,-0.54,0.29,-0.1566
singh_76,988268701,4648690826,V5336Nand,0,0.29,0
DharRenuka,27236673,4648690826,V5336Nand,0,0.29,0
Dipu11977Kumar,3057929443,4648690826,V5336Nand,0.81,0.29,0.2349
satishshuklaa,126849159,4648690826,V5336Nand,0,0.29,0
56perumal,1666873268,4648690826,V5336Nand,0.29,0.29,0.0841
ReshmaLalwani6,9.88E+17,4648690826,V5336Nand,-0.59,0.29,-0.1711
singh_76,988268701,137613839,vera_anz,0,0.63,0
RajTiwa56444261,9.89E+17,137613839,vera_anz,0,0.63,0
singhsantosh98,9.47E+17,137613839,vera_anz,0.48,0.63,0.3024
DharRenuka,27236673,137613839,vera_anz,0,0.63,0
56perumal,1666873268,137613839,vera_anz,0.29,0.63,0.1827
HariOmDass7,9.39E+17,137613839,vera_anz,-0.87,0.63,-0.5481
singh_76,988268701,9.89E+17,RajTiwa56444261,0,0,0
ajaysdl1993,4893682213,9.89E+17,RajTiwa56444261,0,0,0
vera_anz,137613839,9.89E+17,RajTiwa56444261,0.63,0,0
Dipu11977Kumar,3057929443,9.89E+17,RajTiwa56444261,0.81,0,0
RahulDubeyBABA,1.03E+18,9.89E+17,RajTiwa56444261,-0.54,0,0
singh_76,988268701,1.03E+18,RahulDubeyBABA,0,-0.54,0
RajTiwa56444261,9.89E+17,1.03E+18,RahulDubeyBABA,0,-0.54,0
satishshuklaa,126849159,1.03E+18,RahulDubeyBABA,0,-0.54,0
56perumal,1666873268,1.03E+18,RahulDubeyBABA,0.29,-0.54,-0.1566
singh_76,988268701,8.38E+17,vsarrulmozhy,0,-0.61,0
BJPGMDassPondy,1.07E+18,8.38E+17,vsarrulmozhy,0.91,-0.61,-0.5551
AnupamMishra8,386487217,8.38E+17,vsarrulmozhy,-0.34,-0.61,0.2074
56perumal,1666873268,8.38E+17,vsarrulmozhy,0.29,-0.61,-0.1769
singh_76,988268701,1.03E+18,Aoaoao098,0,0,0
singh_76,988268701,3057929443,Dipu11977Kumar,0,0.81,0
RajTiwa56444261,9.89E+17,3057929443,Dipu11977Kumar,0,0.81,0
V5336Nand,4648690826,3057929443,Dipu11977Kumar,0.29,0.81,0.2349
56perumal,1666873268,3057929443,Dipu11977Kumar,0.29,0.81,0.2349
Prerna_Thakur25,2876927606,3057929443,Dipu11977Kumar,0.82,0.81,0.6642
RajTiwa56444261,9.89E+17,4893682213,ajaysdl1993,0,0,0
vsarrulmozhy,8.38E+17,1.07E+18,BJPGMDassPondy,-0.61,0.91,-0.5551
56perumal,1666873268,1.07E+18,BJPGMDassPondy,0.29,0.91,0.2639
vsarrulmozhy,8.38E+17,386487217,AnupamMishra8,-0.61,-0.34,0.2074
V5336Nand,4648690826,386487217,AnupamMishra8,0.29,-0.34,-0.0986
56perumal,1666873268,386487217,AnupamMishra8,0.29,-0.34,-0.0986
R_parab,483176753,1.06E+18,Mi_Ganu,0,0.68,0
R_parab,483176753,1141775318,sachinitp,0,0.48,0
SarlaSungroya,7.86E+17,1141775318,sachinitp,0.35,0.48,0.168
prav2410,824823218,1141775318,sachinitp,0.48,0.48,0.2304
56perumal,1666873268,1141775318,sachinitp,0.29,0.48,0.1392
AryanAArya9,8.20E+17,1141775318,sachinitp,0.67,0.48,0.3216
R_parab,483176753,824823218,prav2410,0,0.48,0
chetans88666,3288284111,824823218,prav2410,0,0.48,0
sachinitp,1141775318,824823218,prav2410,0.48,0.48,0.2304
Dipu11977Kumar,3057929443,824823218,prav2410,0.81,0.48,0.3888
AnilKumarSaga11,4226305694,824823218,prav2410,0,0.48,0
Prerna_Thakur25,2876927606,824823218,prav2410,0.82,0.48,0.3936
AryanAArya9,8.20E+17,824823218,prav2410,0.67,0.48,0.3216
Mi_Ganu,1.06E+18,483176753,R_parab,0.68,0,0
TechguruUp2,3868225155,4919734296,akhileshcares,0,-0.68,0
hisamuddink51,8.38E+17,4919734296,akhileshcares,-0.66,-0.68,0.4488
